Conflicts_size,Conflicts_time,Cpi_acceptance_result,Cpi_acceptance_time,Dominant_supports_result,Dominant_supports_time,Total_time
100,46.58099985122681,False,9.52400016784668,True,0.003000020980834961,56.10899996757507
100,43.19600009918213,False,10.46500015258789,False,43.20099997520447,56.65400004386902
1001,44.799999952316284,False,8.190000057220459,True,44.81099987030029,56.0
2502,44.062999963760376,False,8.717000007629395,False,44.14100003242493,55.87100005149841
100,43.96799993515015,True,96.76800012588501,False,43.97199988365173,143.68300008773804
1001,45.38499999046326,True,97.81100010871887,True,45.40000009536743,146.27400016784668
2502,45.04200005531311,True,98.71599984169006,False,45.11300015449524,147.05700016021729
10,43.805999994277954,False,13.611000061035156,False,43.80799984931946,60.24899983406067
100,46.14100003242493,False,11.001000165939331,True,46.14199995994568,60.3270001411438
503,47.098000049591064,False,11.617000102996826,False,47.10699987411499,62.312999963760376
1015,48.70799994468689,False,9.554999828338623,False,48.73799991607666,62.34500002861023
100,44.86500000953674,False,10.344000101089478,False,44.867999792099,58.20199990272522
100,44.16300010681152,False,11.196000099182129,False,44.16600012779236,58.23399996757507
100,44.22099995613098,False,10.797000169754028,True,44.222999811172485,58.375
100,43.68499994277954,False,10.539000034332275,False,43.687999963760376,57.25399994850159
100,44.875,False,10.7260000705719,False,44.87899994850159,58.83200001716614
100,44.444000005722046,False,11.365000009536743,False,44.4469997882843,58.81100010871887
100,44.67899990081787,False,10.582000017166138,True,44.6800000667572,58.70300006866455
100,44.716999769210815,False,11.338000059127808,False,44.71999979019165,59.318000078201294
100,44.94199991226196,False,10.939000129699707,False,44.9449999332428,59.00500011444092
100,45.08999991416931,False,10.865000009536743,False,45.09299993515015,59.16599988937378
100,44.592000007629395,False,11.01200008392334,True,44.59400010108948,58.86500000953674
100,42.75200009346008,False,9.747999906539917,False,42.75600004196167,55.30900001525879
100,43.76099991798401,False,9.430000066757202,True,43.76300001144409,56.51100015640259
100,44.242999792099,False,10.152000188827515,False,44.24499988555908,57.75600004196167
100,44.574000120162964,False,10.140999794006348,False,44.5770001411438,58.043999910354614
100,46.21900010108948,False,10.256999969482422,True,46.22100019454956,59.6949999332428
100,44.98099994659424,False,10.522000074386597,True,44.98199987411499,58.800999879837036
100,45.121999979019165,False,10.321000099182129,False,45.12400007247925,58.824000120162964
100,45.50699996948242,False,9.937999963760376,False,45.51099991798401,59.17799997329712
100,43.55000019073486,False,10.295999765396118,False,43.55200004577637,57.418999910354614
100,44.91799998283386,False,10.393999814987183,True,44.91900014877319,58.77799987792969
100,45.13800001144409,False,10.975000143051147,False,45.13800001144409,58.902000188827515
100,44.66799998283386,False,10.255000114440918,False,44.66799998283386,58.07299995422363
100,44.305999994277954,False,10.05299997329712,False,44.305999994277954,57.64299988746643
100,45.04699993133545,False,10.873000144958496,False,45.04699993133545,59.02800011634827
100,45.282999992370605,False,10.468999862670898,False,45.282999992370605,58.930999994277954
100,44.69700002670288,False,10.229000091552734,False,44.69799995422363,58.0220000743866
100,43.83099985122681,False,9.357999801635742,True,43.83200001716614,56.67799997329712
100,45.575000047683716,False,9.874000072479248,False,45.575000047683716,58.56500005722046
100,46.17300009727478,False,9.603999853134155,False,46.17300009727478,59.348000049591064
100,45.437999963760376,False,10.489000082015991,False,45.43899989128113,59.1710000038147
100,45.67300009727478,True,81.9300000667572,True,45.67300009727478,130.57500004768372
100,40.80999994277954,True,79.75200009346008,False,40.80999994277954,123.29900002479553
100,43.27500009536743,True,77.06700015068054,True,43.276000022888184,123.65500020980835
100,41.63599991798401,True,74.91700005531311,False,41.63699984550476,119.62800002098083
100,40.47099995613098,True,75.07800006866455,True,40.47099995613098,118.54100012779236
100,41.28399991989136,False,10.832000017166138,False,41.28399991989136,54.95799994468689
100,41.181999921798706,True,93.31900000572205,True,41.181999921798706,137.61999988555908
2502,42.40499997138977,False,9.019999980926514,False,42.40999984741211,54.23399996757507
2502,43.88100004196167,False,9.033999919891357,False,43.888999938964844,55.9210000038147
2502,44.47500014305115,True,5.28600001335144,False,44.48200011253357,52.61099982261658
2502,46.02999997138977,False,9.595999956130981,False,46.03600001335144,58.76799988746643
2502,47.24000000953674,False,9.400000095367432,False,47.24499988555908,59.687999963760376
2502,44.80900001525879,False,9.787999868392944,False,44.812999963760376,57.64099979400635
2502,43.15300011634827,False,8.312999963760376,False,43.15700006484985,54.84299993515015
2502,43.54100012779236,False,8.367000102996826,False,43.5460000038147,55.3970000743866
2502,43.3289999961853,False,8.60699987411499,False,43.335999965667725,55.394999980926514
2502,43.92400002479553,False,8.41100001335144,False,43.92999982833862,55.59500002861023
2502,44.050999879837036,False,10.129999876022339,False,44.055999994277954,57.55900001525879
2502,44.05200004577637,False,8.925000190734863,False,44.05799984931946,56.27000021934509
2502,43.901999950408936,False,8.924999952316284,False,43.90899991989136,56.08500003814697
2502,44.95100021362305,False,8.278000116348267,False,44.956000089645386,56.24000000953674
2502,44.098999977111816,True,70.4229998588562,True,44.1010000705719,117.40100002288818
2502,44.61199998855591,True,80.61199998855591,True,44.61500000953674,128.25300002098083
2502,46.894999980926514,False,9.263000011444092,False,46.89800000190735,59.24000000953674
2502,45.759000062942505,True,75.24600005149841,True,45.76099991798401,124.56299996376038
2502,45.306999921798706,False,8.182999849319458,False,45.312000036239624,56.789000034332275
2502,44.74600005149841,False,7.538000106811523,False,44.75,55.777000188827515
2502,45.18400001525879,True,73.49499988555908,True,45.18600010871887,122.10699987411499
2502,45.367000102996826,True,74.84100008010864,True,45.36800003051758,123.61800003051758
2502,45.63300013542175,True,80.74300003051758,True,45.63499999046326,129.63000011444092
2502,42.71299982070923,True,68.50600004196167,True,42.71499991416931,114.2960000038147
2502,41.12400007247925,True,73.77799987792969,True,41.12700009346008,118.18700003623962
2502,40.82800006866455,True,101.29399991035461,True,40.830000162124634,144.89000010490417
2502,41.47699999809265,True,101.62400007247925,True,41.480000019073486,146.32200002670288
2502,44.890000104904175,True,55.21500015258789,True,44.89199995994568,103.16499996185303
2502,48.82299995422363,True,72.41199994087219,True,48.82599997520447,124.20099997520447
2502,50.257999897003174,True,75.26999998092651,True,50.25999999046326,128.9720001220703
2502,51.75499987602234,True,76.26100015640259,True,51.757999897003174,131.48200011253357
2502,52.08500003814697,True,70.4670000076294,True,52.08899998664856,126.23199987411499
2502,45.01900005340576,True,68.72399997711182,True,45.0220000743866,116.99199986457825
2502,44.86299991607666,True,67.51300001144409,True,44.865999937057495,115.75999999046326
2502,43.84699988365173,True,67.09100008010864,True,43.85099983215332,114.3529999256134
2502,44.81599998474121,True,68.90199995040894,True,44.819000005722046,116.74900007247925
2502,45.08500003814697,True,69.84599995613098,True,45.08800005912781,118.07099986076355
2502,44.914000034332275,True,69.99199986457825,True,44.91700005531311,118.06599998474121
2502,45.01600003242493,True,57.16300010681152,True,45.01799988746643,105.71099996566772
2502,44.668999910354614,False,8.98200011253357,False,44.674999952316284,56.56599998474121
2502,46.10800004005432,False,8.76799988746643,False,46.11400008201599,58.335999965667725
2502,46.443000078201294,False,8.66700005531311,False,46.450000047683716,58.25699996948242
14113,45.23399996757507,False,6.83299994468689,False,45.27499985694885,56.21399998664856
14113,51.4779999256134,False,10.771000146865845,False,51.513999938964844,66.19000005722046
14113,53.77499985694885,False,6.891999959945679,False,53.82200002670288,64.97399997711182
0,43.450000047683716,True,84.55999994277954,True,43.450000047683716,132.1139998435974
14113,49.1010000705719,False,7.761999845504761,False,49.12000012397766,61.0789999961853
250,45.7960000038147,False,9.141999959945679,False,45.79699993133545,58.24199986457825
250,43.9539999961853,True,67.94700002670288,True,43.954999923706055,114.86699986457825
250,43.32699990272522,True,82.99500012397766,False,43.32799983024597,129.16499996185303
250,42.97200012207031,False,11.743000030517578,False,42.97200012207031,57.72200012207031
250,43.23799991607666,False,11.874000072479248,False,43.23899984359741,57.769999980926514
250,43.581000089645386,False,11.967000007629395,True,43.58200001716614,58.86299991607666
250,42.39999985694885,False,12.403000116348267,True,42.39999985694885,57.50099992752075
250,42.69600009918213,False,12.153000116348267,False,42.69700002670288,57.95099997520447
250,43.62600016593933,False,12.117000102996826,False,43.62700009346008,58.51200008392334
250,42.71399998664856,False,11.907999992370605,False,42.71399998664856,57.68300008773804
250,43.41700005531311,False,12.647000074386597,False,43.41799998283386,59.18900012969971
250,42.77199983596802,False,12.050999879837036,False,42.77300000190735,58.08399987220764
250,41.9539999961853,False,15.07800006866455,False,41.9539999961853,60.08899998664856
250,42.1560001373291,False,12.186000108718872,False,42.15700006484985,57.42799997329712
250,44.248000144958496,False,12.699000120162964,False,44.24900007247925,60.03500008583069
250,43.89100003242493,False,12.293999910354614,False,43.89200019836426,59.30900001525879
250,44.57599997520447,False,12.789000034332275,False,44.57699990272522,60.55400013923645
250,44.85899996757507,False,12.348999977111816,False,44.859999895095825,61.05999994277954
250,44.259000062942505,False,11.791000127792358,False,44.25999999046326,59.1560001373291
250,43.54400014877319,False,12.002000093460083,False,43.545000076293945,58.73900008201599
250,42.812999963760376,True,138.7720000743866,True,42.812999963760376,184.69600009918213
250,42.924999952316284,False,11.880000114440918,False,42.925999879837036,57.71600008010864
250,42.41300010681152,False,12.312999963760376,False,42.414000034332275,57.787999868392944
250,43.21599984169006,False,14.698999881744385,False,43.217000007629395,60.82699990272522
250,43.568000078201294,False,12.091000080108643,False,43.569000005722046,58.818000078201294
250,42.50600004196167,False,14.344000101089478,False,42.50699996948242,59.84299993515015
250,43.299999952316284,False,40.27500009536743,False,43.300999879837036,86.7480001449585
250,43.02500009536743,False,11.822999954223633,False,43.026000022888184,58.174999952316284
2502,43.937000036239624,False,9.642000198364258,False,43.94199991226196,56.89199995994568
2502,44.18300008773804,False,12.430999994277954,False,44.187000036239624,60.16600012779236
2502,44.78400015830994,True,140.76200008392334,True,44.78500008583069,189.11600017547607
2502,43.65500020980835,False,10.240000009536743,False,43.66100001335144,57.25999999046326
2502,45.25699996948242,False,12.093999862670898,False,45.26200008392334,60.854000091552734
2502,47.414000034332275,False,9.813999891281128,False,47.420000076293945,60.67899990081787
0,43.996999979019165,True,135.69799995422363,True,43.996999979019165,182.51900005340576
0,43.920000076293945,True,142.1909999847412,True,43.9210000038147,189.1489999294281
500,45.48800015449524,False,11.934000015258789,False,45.48900008201599,60.37899994850159
